Username,Comments,Discussion Topic
SAHIL ARORA,"DR.SAHIL ARORA HIND HINDI HINDU HINDUSTAN HINDURASHTRA BHARAT INDIA
BELONGS TO ALWAR RAJASTHAN 301001
BIRTHPLACE KRISHNAPURI MATHURA UTTAR PRADESH 281001

FOUNDER ORGANISER PLANNER PROGRAMMER PROTECTOR SOON IIR - INDIAN INSTITUTE OF RESEARCH , IIE - INDIAN INSTITUTE OF ECONOMICS,
III-INDIAN INSTITUTE OF INTELLIGENCE ,IPA- INDIAN POLICE ACADEMY ,FOUNDER SOON HINDU PROTECTION EMPOWERED YOUTH GIRLS WOMEN NATION SECURITY WELFARE OF POLICE SOLDIERS PROTECTION OF TRUE HEARTS DEDICATED INDIAN LEADERS MEMBERS RSS BJP VHP NDA IPA RSP AFFD MYGOV.IN INDIAN CITIZEN GLOBAL CITIZEN IN INDIA WORLD GLOBAL WORLD

FOR NATION FIRST SOLDIERS FIRST INDIA FIRST BHARAT FIRST HINDUSTAN FIRST

JAI HIND VANDEY MATRAM HINDUSTAN BHARAT INDIA MATA KI JAI HO

SATYA MEV JAYTA",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Sanjay Raghunath sonawane,"Vision of Vikasit bharat2047
Author-Sanjay Raghunath sonawane
Vikasit bharat2047 including all development scheme for india.Honourable prime minister of India Narendra Modi ji established big mission for indian. Vikasit bharat movement is very important for indian. Believe all indian on leadership of prime minister of India Narendra Modi ji.
Honourable prime minister of India Narendra Modi ji is held big organization of Vikasit bharat2047 for empowering of india.Our motto is development of every cast, communities, religion indian. We have need prime minister of India Narendra Modi ji for indian development. Women of india are main big movement for indian people development. Women security, children security, girls security focus in Vikasit bharat2047.
Education, environment, shelter, health, infrastructure, water, electricity, solar energy projects are including in Vikasit bharat2047.
Prime minister of India Narendra Modi ji held big projects.National heighway, metro, bridges.",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Saumya kanchan,"Good morning to our Hon’ble Prime Minister,

I am a student of Class 10th and I would like to request you to talk about the topic of how Artificial Intelligence (AI) is impacting jobs of multiple people. Even though AI is more of a boon than a curse, as it helps in deep research, studies, healthcare and many other fields, it is also true that AI is taking away people’s jobs. For example, in many companies, AI tools are now being used to write reports and create designs, which earlier required human employees, thus reducing job opportunities.

AI has two sides — it makes work easier and creative, but also replaces some jobs, creating fear of unemployment. Data shows that while many workers enjoy AI, a large number also worry about losing their jobs. If our Hon’ble Prime Minister could share his thoughts and solutions, it would truly guide students like me.

NAME:- Saumya kanchan
CLASS:- 10th
Student of Joseph and Mary public school, Delhi",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Andaluri Srinivas,"First time crime, exponential increase. Means people are getting into first time crime",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Andaluri Srinivas,"Most of the crime cases being settled, criminals are not punished . That is why exponential increase of crimes",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"Satyam Raj
",Increase seats in colleges of enginering and increase jobs and take high cutoff fpr all caste,Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
CHANDA NAGARAJU","Dear Modi ji
Bright Morning Symphony  Time is dancing with your inner courage 🌿.
🌞 You are turning waiting into patience and power 🌟.
🌟 Every heartbeat is shaping moments of growth ✨.
🔥 Your wisdom is stretching beyond the limits of clocks 🌺.
*💫 May your day shine like time itself is in your hands 💫.*",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
CHANDA NAGARAJU,"Dear Modi ji
Sub: ban on single used plastics
This pic says thousand words
which is a pond for immersion of Ganesha idols in our town
see this picture, how plastics covers and other plastic materials","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Akshit Bhardwaj,"Respected Hon’ble Prime Minister Shri Narendra Modi ji,

Namaste.

I am a passionate student aspiring to become an IAS officer one day and serve our great nation. I was truly inspired by your recent initiative that allows students to experience One Day as a Scientist. It’s a brilliant way to ignite young minds and fuel their curiosity.

In a similar spirit, I humbly request you to consider starting a program called ""One Day as an IAS Officer"", where students get the opportunity to shadow an IAS officer for a day. This would give us invaluable exposure to the responsibilities and challenges of civil service, and further strengthen our commitment to public service.

I believe this initiative will inspire many young Indians to dream big and work hard to contribute to the nation’s progress.

Thank you for always motivating the youth.

With deep respect,
Yours truly
Akshit Bhardwaj
Class:10th
Student of: Delhi Public School Hapur",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Prajakata Vishal Deshmukh,We have to need to controle sound pollution in Ganpati chaturthi festivals and so many other festivals because their are many patients in hospitals which are deal with heart problems and vital organ desieases..,Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
SAHIN ZAKIRHUSSEIN KOLIA,"As we can see that india is Growing & Development is so far very good, But in Government sector & Also semi Government sector there is Employees who are taking disadvantage of many illiterate & poor people, which we can consider as (Sosan) which should stop. & There should be Good Behaviour Tranning provided by the Government sector for their Employees. Because now are Days there is politics in all sectors, Streets, Even in the Relations aswell, that should End. Than After We can say that now india is Becoming Best.",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
DEVIPRASAD THIMMAIAH THOTAMBAILU,"Honorable PM Dear Modi,

We need to understand the actual gravity of Export and Import Business how the total loss hapens as we Export to US .
We buy RM from them Duty free.
We buy the Softwere from them to convert that RM like design , system, hardwere etc etc . to concert that RM
we buy machines from various countries .
we buy consumables from them which looses its self life .
we convert to spare part or a part finished
we buy standards from them to convert it to finish goods .
then we pay for their visits
then we send the goods duty free.

we give less salary to our people spoiling the living standard.

we buy doller by paying a fee and rupee falls every year.

actually we lost all these years of hard word

at last we buy finish products from them with lot of cost again using doller .

Now tell how export , import is calcolated ??

unless we see sell finish product that reach consumer directly the export busniss is loss","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
AkashSahoo,"Respected Prime Minister,

I propose creating a dedicated Judicial Security & Enforcement Wing within the CISF. This unit can safeguard judges and courts, protect witnesses under the Witness Protection Scheme, 2018 (approved by the Hon’ble Supreme Court on 5 December 2018), and manage prisoner escort and the tracking of fugitives.

Importantly, this new wing could also provide a natural reemployment pathway for Agniveers, who already have the discipline and training required. By giving them this role, we strengthen our judiciary while also honouring our commitment to India’s young soldiers.

Entrusting these duties to a neutral central force would shield justice from local political or mafia influence and free up the CBI and state police to focus on complex investigations. This reform would ensure justice is secure, fearless, and timely across India.","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Irrespective of differences, world needs to stay United- Vasudhaiva Kutumbakam- The world is one family","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,State and central citizens Grievance portals are dump yards,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Staff of RTA, Property registrations , revenue department are superrich . Yet take Govt pension","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Apart from Semiconductors ; India to start producing end to end rather importing CKD and SKD kits in many industrial domains like consumer appliances, electronics, automobile etc",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
KirandebBera,"Subject: Cyber Security Awareness & IT Literacy for School Students

Respected Prime Minister Sir,

India’s students are rapidly going digital but face growing risks of frauds, bullying, misinformation, and identity theft.

SITLCS proposes the Cyber Defence Program – “One Trained Student = One Protected Family”. It includes cyber awareness seminars, IT literacy (from basics to AI), teacher training, and parent workshops.

Even without funding, the program can run through book distribution and exam support in schools.

We seek your support to endorse this as a national model to safeguard youth and empower families under Digital India.

Respectfully,
Kirandeb Bera
Director, SITLCS","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Shubham Tripathi,"we love our prime minister and his aid , because his every try and every aid is try to glow our country and improve our system",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
SANDIP PATIL,"Respected Sir,I would like to draw your kind attention to the urgent need for establishing an InformationTechnology (IT) Park in Nashik, Maharashtra.The Nashik Municipal Corporation has already reserved approximately 350 acres of land inthe Adgaon-Mhasrul area, strategically located near the Mumbai–Agra National Highway(NH-3). Notably, an IT park in Nashik was first proposed in 2003 and was inaugurated by thethen Hon’ble Union Minister, Late Shri Pramod Mahajan. However, the project wasunfortunately shelved thereafter, and no significant progress has been made since.Given Nashik’s growing population, its educated youth, and its potential as a regional growthhub in North Maharashtra, the development of a modern IT park is both timely and essential.This initiative would not only boost the local economy but also generate significantemployment opportunities for thousands of skilled individuals in the region.I humbly request you to kindly take up this matter at the Ministry level by convening a reviewmeeting with the concerned departments. Your support in approving and facilitating theestablishment of an IT park at the designated site in Adgaon-Mhasrul would be a monumentalstep toward transforming Nashik into a prominent IT destination.Thank you for your time and consideration.",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
sandip patil,"Respected Hon’ble Prime Minister,
I am writing to you as a concerned citizen regarding the current state of the Central
Information Commission (CIC), which is functioning with only three Information
Commissioners, including the Chief Information Commissioner, whereas the Right to
Information Act, 2005 provides for up to eleven Commissioners in total.
The CIC plays a pivotal role in upholding the values of transparency, accountability, and
good governance by ensuring timely access to information under the RTI Act. However, the
acute shortage of Commissioners has severely impacted the Commission’s functioning,
leading to increasing backlogs and prolonged delays in hearing and disposing of appeals and
complaints.
The RTI Act empowers the Central Government to appoint the Chief Information
Commissioner and up to ten Information Commissioners. The present situation, where eight
posts remain vacant, is hindering the very purpose of the Act and affecting citizens'
fundamental right to information.
In the spirit of ""Minimum Government, Maximum Governance"", it is essential that the
Commission is adequately staffed to serve its mandate effectively and promptly.
I humbly urge your esteemed office to kindly:
1. Take immediate steps to appoint the remaining Central Information Commissioners
to ensure the Commission functions at its full strength.
2. Ensure that the process of appointments is transparent and based on merit, in
keeping with the democratic spirit of the RTI Act.
3. Consider further strengthening the CIC with necessary administrative support to
improve efficiency and reduce pendency.
Your timely intervention will not only restore the effectiveness of the CIC but will also
reaffirm the government’s commitment to transparency and participatory governance.Thank you for your attention and anticipated action on this important matter.","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Sandip Patil,"Note for Committee on Ethanol-Petrol Blending Effectiveness
The practice of blending ethanol with petrol (E10, E20) is intended to reduce fossil fuel
dependency, support cleaner energy, and promote rural/agricultural growth. However,
several concerns warrant a detailed review:
1. Fuel Efficiency Impact: Ethanol has lower energy content than petrol, leading to reduced
mileage (up to 8–10% in E20 blends), directly affecting consumer fuel economy.
2. Vehicle Compatibility & Maintenance: Ethanol’s corrosive nature and moisture absorption
properties may damage components in older or non-compatible engines, increasing
maintenance costs.
3. Cost to Consumers: The combination of reduced mileage and potential maintenance
requirements may offset the intended economic benefits of ethanol blending for end users.
4. Environmental Considerations: While ethanol reduces carbon monoxide and particulate
emissions, concerns exist regarding the environmental impact of large-scale ethanol
production—such as water use, land diversion from food crops, and carbon intensity of
processing.
5. Conflict of Interest & Profit Transparency: It has been reported that a company owned by
the Union Minister’s son has recorded a 115% profit increase in the ethanol sector. This
raises potential conflict of interest concerns and underscores the need for greater
transparency and unbiased evaluation of the blending policy.
Recommendation:
A neutral, multidisciplinary committee should be constituted to assess the overall
effectiveness, economic implications, and governance transparency of ethanol blending. The
goal should be to determine whether continuing, modifying, or phasing out ethanol
blending aligns with the broader national interest—balancing environmental, economic, and
ethical considerations","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
"Satyam Raj
",Increase seats in colleges of enginering and increase jobs and take high cutoff fpr all caste,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Kush,". 2nd October ko chorahon par jhadu ki gadiyan khadi ho aur local log ,dukandar , hospital wale , doctors ,bache sab milke 2 ghante apne areas ki safai karen. ye karne se hi desh saaf hoga. jhadu local mla ,dc etc sponsor karen pure desh me change aayega . 10 saal se koi major impact nahi hua hai bus swach Bharat ek natak reh gya hai

2. vaccination bachon ki adhar se link kari jaye taki life long pata rahe ki konsi vaacines kisko lag chuki

3 mbbs md degrees ek hi bar me adhar se link ho ya digilocker me extract ho jaye abhi sirf 10/12 ki milti hai","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Rajeev Ranjan Mishra,"Respected Sir,
I am writing to propose positioning Indian Handicrafts as India’s Global Product of Peace, under
the trusted banner of “Made in India – सबका साथ, सबका ",Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
Rajan K,"Govt decision to reduce GST on life saving medicine is welcome step which will help common man like me.

Hope this includes chronic kidney disease too.

GST reduction will bring relief to many people.","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"As Microsoft support for Windows 10 ending on 14th October 2025, impact on Govt systems needs to be mitigated","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,Geo tagging essential for property registrations,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Some Property registration authorities without validating link documents , registering immovable assets","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"As defence technologies taking leap, ground troops could be reduced","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,STEM education needs deeper roots in rural India,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Some corrupt staff of courts leaking sensitive information defeating the purpose of approaching judicial systems
","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"More than Cyber security awareness, road safety awareness needed as hundreds die every day on roads","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,India post - all corner presence highly underutilized,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Irrespective of differences, world needs to stay United- Vasudhaiva Kutumbakam- The world is one family","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"IR need to set up customer support kind of platform . Present IVR is only blip
","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Staff of RTA, Property registrations , revenue department are superrich . Yet take Govt pension","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Apart from Semiconductors ; India to start producing end to end rather importing CKD and SKD kits in many industrial domains like consumer appliances, electronics, automobile etc","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
"Shubham Tripathi
","we love our prime minister and his aid , because his every try and every aid is try to glow our country and improve our system","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"All major cities suburbs farm land is getting converted into layouts, errant realtors pooling the land thru illegal ways","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,State and central citizens Grievance portals are dump yards,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Anushka padhi,"there should be no tax on eating salt

","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
MD Sabirddin Ahamed,"My submission for 'Mann Ki Baat' focuses on 'Fostering a Culture of Innovation at the Grassroots Level.' The accompanying image visually reinforces this theme, depicting how simple, yet ingenious, solutions can emerge from diverse, everyday settings—from agricultural fields to local workshops and homes. It highlights the potential within every citizen to contribute to India's progress through innovation. By encouraging and supporting these 'ideas from the roots,' we can collectively build a truly 'Viksit Bharat,' ensuring that technological advancement and problem-solving are inclusive and widespread.","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Srinivasan Tamilraj,"Education/ NIRF, Health Care, Umang/ Digilocker portals/ apps &all others should be in the core spectrum, roboust& neat, no down time, making things good, easy, comgortable for all our esteemed citizens at all time...💜💚💙

Jai India!!!","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
GoutamArora,"Namaste prime minister sir,
My name is Goutam Arora and live in udaipur, rajasthan
I want to give a suggestion about telecom spam frauds.
Sir, I have an idea that if government of India, along with telecom companies and software developers like Android and iOS make a system that if a government registered agency like ED ,CBI and other agencies call Indian citizen then a GOVERNMENT LEAGLE SYMBOL LIKE ""ASHOK STAMBH"" or something other will appear along with agency name appears on mobile screen this actions will reduce spam calls a lot .
I hope you like this idea and take actions on my suggestion.
🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳🇮🇳JAI HIND
INDIA First
SVADESHI FIRST","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Arun Kumar Nath,"Respected PM ,

Please think for while , about RAIL connectivity for Borak vally of Assam.

Guwahati by pass RAIL connectivity is needed for Borak vally, it is the demand of time, demand of North East development, demand for upgrade poor and disturbing RAIL connectivity.

Pl think for a while.

with regards

A K NATH","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
IshwarVasure,"To,

Honourable Prime Minister Shri Narendra Modi Ji

Government of India, New Delhi

Subiect: Request for resolution of problems faced by temporary employees working in schools and hostels

Respected Prime Minister Ji,

Greetings with due respect.

I am a regular listener of your program ""Mann Ki Baat"", and always receive continuous inspiration from it. At your leadership, work ternprary employees working elanore my

Subject

MAIN PROBLEMS

1. Excessive delay in salary payments - sometimes not paid for months.

2. No transperent record of tenure and working days.

3. Extra work is often taken but without official recognition.

4. Repeated complaints are required for salary and rights.

SUGGESTIONS FOR SOLUTIONS

A national-level online portal should be created.

Registration of all temporary employees should be done.

Daily/Monthly working records should be maintained digitally.

Salary payment status should be auto-updated.

A grievance redressal system should be available on the portal.

Data should remain public for transparency.

REQUEST

Respected Prime Minister Ji,

You have always introduced weltare schemes for the poor and weaker sections. If such a digital portal is created for temporary","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
DEEPAK KUMAR NAI,"All Government School English Medium Compulsory in India for Poor Villagers Student.
Hindi and State Language Compulsory in English Medium School.
Private School and Government School Same Education System Compulsory in India.","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
DEEPAK KUMAR NAI,"Andhbhakt, Pakhand, Gobar bhakt Three World Ban Compulsory in India.","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Within a state like Uttarakhand, adjacent disaster prone districts may be merged administratively for better handling of calamities","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,Long distance trains like 2000 plus kms do not have provision for first aid,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Some category of trains have become TRAIN of CATTLE ; extremely poor maintenance of passenger coaches, toilets","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"There needs system of performance review for Judicial systems ( courts , judges) , other wise whatever are the legal reforms, courts are rugby grounds","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Andaluri Srinivas,"Every where Aadhaar KYC, why not for state assembly or parliament election voting?","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Bhavyajain,"Namaste PM Sir,

Bharat will become developed only when the people are developed and have Civic sense. Every Indian should love the country and its people, animals and culture. It should be inbuilt to keep the premises clean.

• Our religion and culture is intact to all animals. Even Gautam Buddha said ""marne wale se bachane wala bada hota hai"". Some people from your party are supporting animal cruelty in Delhi. Dogs are related to our Dharam directly - Kaalbhairav, Shanidev, Pandav, all represent dogs as their part, then why are you silent on dog hatred that is spreading like fire. When we go to vaishnodevi our yatra is complete only after Bhairav darshan. Be it Kashi or Vidhyanchal, Kotwal/kshetrapal is mandatory to visit.
Justice delayed is justice denied.

• Caste reservation is itself caste discrimination. Income can only be the basis for reservation and no other criteria. Income tax filing should be mandatory to everyone even if the income is 0/less. Gen Category is suffering.🙏","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Akshay Anil Wayal,"A teacher plays an Important role in Nations Buildup ...
I urge PM Modi ji to Please Initiate A National Program Mandatory for every UNIVERSITY and School for Teachers in India.

As we conducted Meri Mati Mera Desh...
teachers should also get some Recognition from Your Side.
please think on it sir

A nation will only Build By Improving Teachers and Recognizing their Work and Appreciating their Selfless Service towards Nation Building.

Regards
Prof. Dr. Akshay Wayal
BJP KARYAKARTA

PUNE","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Babla Sengupta,"Namaskar,Sir Prime Minister Narendra Modi.Today 5 September National Teacher's day Dr.Sarbapalli Radha Krishnan ji Pranam.I am Cooch Behar district MyGov Platform Citizens centric Viksit Bharat lakhsa.Cooch Behar digital India Empower Student finances Security and UN India Security,SCO Partnership Viksit Bharat Mission.I am Cooch district New Town area IT University College Education and Training Collaboration with MyGov digital platforms Journey.17 September PM Modi sir birthday and Viswakarma Puja.This year's Diwali double gifts and GST Reform.I am very poor.Cooch Behar district Film Industry and Indian Music Industry.Digital SAI Sports Complex Stadium games Industry.Rashtriya Sikhsa Niti very good quality.Viksit Bharat Capacity Building health Centre.Cooch Behar district Engineering training and job development office.NDA Development Vikash path.Cooch Behar district West Bengal Dr.Shyama Prasad Mukherjee Amar Sonar Bangla want Viksit Bharat Vikashpadia.Spiritual Motivational speech","Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
sujata,please pm talk about private school fee. In Bangalore it becomes business and everything becomes commercial,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Umesh Chandra Roy,good initiative,"Inviting Ideas for Mann Ki Baat by Prime Minister Narendra Modi on 28th September 2025
"
Srinivasan Tamilraj,"India is Superior in Quality& hygiene, we need stability in product design in this area called quality control, our exported products are well appreciated where they have gone to.. because of make& quality.. there is a great demand for products inhouse nationally also..

so it is strictly beneficial nationally, globally that we make stringent steps to pursue quality make, where we create manufacturing& software products..

the tariffs will not deter us...🧡🤍💛...",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Satyajit Mistri,"Honble Prime Minister Narendra Modi,

Sir,

Disabled persons should also have access to the Parliamentary and Assembly elections. For which certain percentage should be reserved for the Disabled people, so that the voice of the disabled is raised at the appropriate platform. At least one disabled should be elected in each Assembly.

With Regards

Sincerely

Satyajit Mistri",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
