Username,Comments,Discussion Topic
Madan lal Dubgotra,"Honble Prime Minister ji

Sir,

Disabled persons should also have access to the Parliamentary and Assembly elections. For which certain percentage should be reserved for the Disabled people, so that the voice of the disabled is raised at the appropriate platform. At least one disabled should be elected in each Assembly.

With Regards

Sincerely

Madan Dubgotra",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
kunal kishore,Draft accessibility standard is specially for disabled working people in manufacture sector.it help us to fulfill all basic needs in working place.it should be legally protect right of disabled people.it help us to disabled workman to aware about their right on working place.,Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Nirajkumar,As per draft packaging technology should be increased in india. If possible branches of Indian institute of packaging may be increased in India.,Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
ArpithaA,"Hello, I have worked in accessible products for the visually impaired sector for 5 years. During this period, I have attended many national and international conferences that are for PWDs.
The draft document attached above does contain necessary requirements listed out; however, exact specifications are missing, which may lead to wrong interpretation- for example, wheelchair ramps- there are optimum, all wheelchair complaint specifications for height, elevation, angle, and material; without a standard specification specified and governed by the body, the ramps installed may vary and will not serve the purpose of accessible buildings. We have seen many schools have ramps, but they are not usable by the wheelchair user without another person pushing them up and down.
The purpose of accessible design and products is also to give PWDs independence.

I request the governing body to allocate funds and personnel for research and standardisation of specifications.",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Subhash Das,"Proposal for Introducing “Patriotism Education” as a Compulsory Subject in All Educational Institutions to Build a Strong and Integrated India.

My slogan for the country is ""One day, one work only for the country.""

Just as small raindrops together create an ocean, if one person does one good deed for the country every day, then with the combined efforts of billions of people, the country will become strong, developed, and orderly. For example, Einstein’s extreme infinity power formula
E = MC2, (Super Power India = Theory/Patriotism
X Patriotic Activity2).
More details in my attached PDF...
ALL BHARATIYAM to be all ways happy
This is my all in all dream from my childhood",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
RaushanPrakash,"The Draft Accessibility Standards for the Products Sector is a progressive step towards ensuring inclusivity for persons with disabilities. I strongly suggest integrating Universal Design principles, mandatory accessibility audits, and digital accessibility standards like WCAG 2.2 and IS 17802. Additionally, affordability measures, tactile indicators, voice-assisted features, and awareness campaigns for manufacturers will help create truly barrier-free products. Such steps will not only meet compliance but also enhance usability, dignity, and independence for all users",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Praveen Kumar,"respected sir
MODI JI
my name is Praveen Kumar Singh
from jharkhand
I am a disabled person

and coming onto (man ki baat)

I have a national issue (complain)
only MODI JI can solve this issue (problem).
if MODI JI really cares about India as being PM then he should reply to my messages
if MODI JI really wants to see india at no.1 position then he should contact me

because as I told that I am a disabled person

don't think that I am writing this message for like or comment
because it's really a big matter

spread this message to everyone so
that it can reach to modi

JAI HIND
JAI BHARAT",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
ANKITA BEDI,"Products should be designed with the principle of universal design, ensuring they are usable by people with diverse abilities without the need for separate or specialized modifications.
Product packaging and instructions should be available in multiple accessible formats, such as braille, large print, and digital screen-reader-friendly versions.
Suggestions include easy-to-open packaging, large and easily accessible buttons or touch controls, lightweight materials, and designs that allow for one-handed operation.

Suggestions include mandating compliance for all government, public sector, and private organizations that provide public services.

Accessibility features should not significantly increase product costs, and the government should consider providing subsidies and incentives to manufacturers.
The standards should be reviewed every three years or sooner to incorporate advancements in technology and the evolving needs of persons with disabilities.",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Srinivasan Tamilraj,"India is Superior in Quality& hygiene, we need stability in product design in this area called quality control, our exported products are well appreciated where they have gone to.. because of make& quality.. there is a great demand for products inhouse nationally also..

so it is strictly beneficial nationally, globally that we make stringent steps to pursue quality make, where we create manufacturing& software products..

the tariffs will not deter us...🧡🤍💛...",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Subhash Das,"Proposal for Introducing “Patriotism Education” as a Compulsory Subject in All Educational Institutions to Build a Strong and Integrated India.

My slogan for the country is ""One day, one work only for the country.""

Just as small raindrops together create an ocean, if one person does one good deed for the country every day, then with the combined efforts of billions of people, the country will become strong, developed, and orderly. For example, Einstein’s extreme infinity power formula
E = MC2, (Super Power India = Theory/Patriotism
X Patriotic Activity2).
More details in my attached PDF...
ALL BHARATIYAM to be all ways happy
This is my all in all dream from my childhood",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
RaushanPrakash,"The Draft Accessibility Standards for the Products Sector is a progressive step towards ensuring inclusivity for persons with disabilities. I strongly suggest integrating Universal Design principles, mandatory accessibility audits, and digital accessibility standards like WCAG 2.2 and IS 17802. Additionally, affordability measures, tactile indicators, voice-assisted features, and awareness campaigns for manufacturers will help create truly barrier-free products. Such steps will not only meet compliance but also enhance usability, dignity, and independence for all users.",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
ANKITA BEDI,"Products should be designed with the principle of universal design, ensuring they are usable by people with diverse abilities without the need for separate or specialized modifications.
Product packaging and instructions should be available in multiple accessible formats, such as braille, large print, and digital screen-reader-friendly versions.
Suggestions include easy-to-open packaging, large and easily accessible buttons or touch controls, lightweight materials, and designs that allow for one-handed operation.

Suggestions include mandating compliance for all government, public sector, and private organizations that provide public services.

Accessibility features should not significantly increase product costs, and the government should consider providing subsidies and incentives to manufacturers.
The standards should be reviewed every three years or sooner to incorporate advancements in technology and the evolving needs of persons with disabilities.",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Sachin pal,"A draft accessibility standard for the product sector should ensure that all products follow universal design principles, making them usable by people with diverse abilities, including those with visual, auditory, motor, and cognitive impairments. Key requirements include physical accessibility through easy-to-reach and operable controls, visual accessibility via high-contrast displays and clear labeling, auditory accessibility with visual or tactile alternatives to sound, and digital accessibility by complying with WCAG guidelines. Products should also support cognitive accessibility through simple language, clear instructions, and consistent design, while packaging and documentation must include large print, Braille, and accessible digital formats. Safety features should be multi-modal and operable without fine motor skills, and compliance should involve user testing with persons with disabilities along with a certification framework to ensure usability and inclusivity",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Neel Narayan,"Please include Country of Origin (including % local content in case of imported components / packaged goods) as mandatory information, with filter option by default to choose 100% Made in India products in case of e-commerce platforms and appropriate means for easy identification of physically challenged persons as well. This should be applicable for Accessibility Standards for Products Sector also",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Hanumathuabhishek,"Road safety is one of the most important concerns in India. While large metropolitan cities are becoming more disciplined in following traffic rules due to strict monitoring and enforcement, the situation in small towns and semi-urban areas is very different. In these places, traffic rules are often neglected, and awareness levels are much lower. People frequently drive without helmets, seatbelts, or proper documents, which leads to a high number of accidents. Overspeeding, drunk driving, and careless driving are also common issues.

Every year, thousands of people lose their lives in road accidents, and many more suffer permanent injuries. The majority of these accidents occur in smaller cities and towns where traffic rules are either not followed or not strictly enforced. Therefore, the government should implement stronger measures to ensure that road safety becomes a priority everywhere, not only in metro",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
KishanMishra_127,Respected Prime Minister I propose a framework to strengthen governance by evaluating Dm and local officials through measurable key performance indicators covering growth infrastructure health education environment governance efficiency and citizen satisfaction Each officer will be rated on a composite score from 0 to 100 with transparent independent audits High performers will receive fast track promotions recognition and extra resources average performers will continue with normal progression those needing improvement will undergo retraining and mentoring while consistent underperformers will face reassignment or removal Local bodies such as urban local bodies and panchayati raj institutions should be empowered with financial and administrative autonomy but monitored through digital dashboards and citizen feedback Political influence in transfers and promotions should be minimized with career growth tied to measurable results so they can work without political pressure thanks,Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
kunal kishore,Disabled people is a big source of work force.it should be used at each and every sector in our country.this draft is a best way to fulfill all needs of employer and producer for manufacture sector.it has given a legal protection for disabled worker.my view is One step go ahead for better environment.,Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Pratikgthakkar,"Hello Respected Indian Government,

The Indian Government should focus on increasing the capacity of investment based domestic and international trading instead of free trade agreements. The Indian Government should try to increase the population of Hindu people in whole India and the whole world.

Thank you",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
AijazSalam,"The product sector plays a vital role in driving innovation, consumer choice, and economic growth. With rapid technological advancements and shifting consumer preferences, companies are under constant pressure to deliver high-quality, sustainable, and cost-effective products. The success of this sector depends on efficient supply chains, strong R&D, and the ability to adapt quickly to market demands",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Srivenkata Ramakrishna Namburi,"Dear Sir,
Living in India as physically disabled is HELL. I am sorry to put this across. Before we even discuss about ACCESSIBILITY Products, following has to be put in place:
1. ROADs in colonies and Major thoroughfare are not suitable for physically disabled across INDIA. Show me a distance of 1 Kilometer where a disabled person can move on wheelchair comfortably. If we as Government cannot provide a ROAD for easy accessibility, we need to design a standard such that WHEELCHAIRS can navigate on INDIAN Roads
2. RAILWAYS - No platform in INDIA Railway station or STAIRCASE to train coaches is disabled friendly, if we cannot change the platforms, DESIGN a product such that disabled person can easily climb on to the train.
3. Forget about disabled person, able senior citizens & children cannot use ROADS safely. In next few years going by current statistics, INDIA will have 30% senior citizen population whose mobility will be limited along with disabled citizens. Please think big",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Priyabrata Panda,"Hi, I am Priyabrata Panda,

When we talk about products, we mostly think about something tangible. Now, the need of an hour is looking at Software Products, Maybe it is an operating system or mailbox or social media platform. Consider a hypothetical situation. The major player on this sector if takes out their service and how it will be ? So, it is time to work with major tech companies to make this indigenous.
Yes, for initial days, this will be challenging for revenue, but having a govt approved social media platform can help to get revenue from add, which further can be utilized on free services like mail.
it is time for #Digital #Atmanirvar",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Praveen Kumar,"respected sir
MODI JI
my name is Praveen Kumar Singh
from jharkhand
I am a disabled person

I have a national issue (complain)
only MODI JI can solve this issue (problem).
if MODI JI really cares about India as being PM then he should reply to my messages
if MODI JI really wants to see india at no.1 position then he should contact me

because as I told that I am a disabled person

don't think that I am writing this message for like or comment
because it's really a big matter

spread this message to everyone so
that it can reach to modi

JAI HIND
JAI BHARAT",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
MrBora,"Dear Modi Ji & its team ,

1. Please increase the standards of hygenie & quality of food stalls and restaurants.
2. Please create a rating system for all food stalls & restaurant then fine them if their rating of hygiene and food quality is bad.
3. Please increase tax on Unhealthy food by atleast 50% on shops & restaurants.

4. Please reduce tax on health/healthier food available on restaurant & regulate their price if possible. They can only charge price according to their rating system & expenses of their restaurant/hotel.",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Rishav Raj Paswan,"Draft Accessibility Standards product sector ke liye ek zaroori kadam hai. Ye standards ek aise environment ka nirmaan karte hain jo specially-abled logon ke liye inclusive aur barrier-free ho.

Ye na sirf unki basic needs ko poora karte hain, balki workplace par equal rights aur dignity bhi ensure karte hain. Ye rules legal obligation bhi banenge, jo employers aur unke colleagues ke liye follow karna zaroori hoga.

Mera mantra hai: Ek kadam aage, divyang adhikaron ke suraksha ke liye!",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Saksham Baghel,"The Department of Empowerment of Persons with Disabilities (DEPwD), under the Ministry of Social Justice & Empowerment (MSJE), has partnered with MyGov to invite public comments and suggestions on the Draft Accessibility Standards for the Products Sector 🛠️. This initiative aims to ensure that products—ranging from physical goods to digital interfaces—are designed to be inclusive and usable by persons with disabilities.",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
DUSHMANTA KUMAR PUNJI,Stakeholders and the public are encouraged to review the proposed standards carefully and submit their comments and suggestions to help create a barrier-free and inclusive environment,Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
"RAJAT_528
",Swadeshi selfie campaign should promote. This will help to motivate by looking others. Possible to take selfie with Bunkar and katihar. I am supportive Make in India logo,Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Hemant Anant Sant,"Good Basic honest caring engineering makers deciders decide daily lives of a nation.System should sets standards so full proof yet protective to spirit of the tenders rules .Corruption proof designs by hundreds of Top Engineering Experts institutions multi disciplinary team ,open to scrutiny suggestions.Justification of design and accountability will assure better roads ,footpath, bridges,public places malls all where anyone with any disability or not can access the place with ease.If this has not been assured it reflects poorly on state or central GOi deciders all of them ,and us citizens who hardly care",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Rahul Singh,"It is important to make sure products are easy to see, use, and understand for all types of users. I suggest including rules that product instructions and packaging also be available in formats like Braille, large print, or audio. Clear labels with big letters and symbols would help people who have trouble reading or understanding. It would be helpful if the government offers support to companies that follow these rules and checks that products meet the standards. Providing simple toolkits for makers to create accessible products can also help. These steps will make sure more people can use products safely and independently",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
ABHAY KUMAR,India has quietly become No.1 in Unease of doing business. Govt’s flawed policies have made the govt officials so emboldened in their corrupt practices that Business men are squeezed like never before. Leaving Indian citizenship by the rich and wealthy is symbol of it. Wake up alarm sir. All investigation agencies have become too corrupt. If some real work is done on corruption then this tariff effect will become meaningless. Try once and see what magic we Indians can do. Unease of doing business is killing…,Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
DEVIPRASAD THIMMAIAH THOTAMBAILU,"Honorable PM Dear Modi,

My research of Goods value , manpower value , and brand value lives with the customer the buyer . we the buyer are loosing this is research point.

1. why to value Indian customer buy power with forign currency this is a big mistake of past .
2. if Indian currency value grows yeae on year people across world will buy .
3. release a international currency without fear now is the time and global people can buy it . actually it is a no game so no need to actually print.
4. Global currency for every countries use and managed by every countey call it Global money and symnol is GM.

No exchange price for that currency and to buy global currency need to give any goods of global standard price . like Gold ,silver, urenium, may be pharma , or food grain to global mandi. and take international currency. some country may have only leather to sell then sell and take global currency of the leather value . ang buy internationally any thing.
reduce Fosil fuel consumption",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Praveen Kumar,"hi.my name is Praveen Kumar Singh.from jharkhand.i am a disabled person.&i have a national issue (matter, complain). only MODI JI can solve this problem.if modi ji really cares about India as being PM in the year 2025 then he should reply to my messages.if modi ji wants to see india at no.1 position then he should come to meet me.don't think that I am writing this message for like or comment because it's really a big problem.i tried everything to contact you but failed.again & again.at last I will say that if Modi ji really cares about India as being PM then he should contact me....................

JAI HIND
JAI BHARAT",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Shailendra Kumar Pandey,"PM Shri Man Narendra Modi Ji, the evil MLA of Vindhyachal Dham who is corrupt, of which I am giving proof, under the leadership of Sangh Parivar, on the request of our Baba revered Pandit Gajanand Pandey Ji, from different areas Vindhya Vidya Peeth Inter College was built for the purpose of education by him personally. After Baba's death, his entire family together exploited the land property of the school on a large scale.I will not write much, I will tell you after meeting Delhi. Jai Maa Vindhyavasini",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
yasotha,"The Draft Accessibility Standards for the Products Sector offer significant benefits but also pose practical challenges for implementation.
Significant Benefits- Promotes Inclusion: Ensures products are accessible to persons with disabilities, increasing equal participation in society - Legal Actionability: Makes accessibility a required standard, bringing legal accountability and consistency in product design- Universal Design Principles: Fosters innovation, benefiting not only people with disabilities but all -Transparent Compliance: Introduces structured reporting and third-party auditing- Economic Potential: Opens new markets and drives demand for accessible products, boosting opportunities for manufacturers and service providers. In the following factors we have to have a keen observation. Awareness and Training Gaps: Many Checklist Mentality: Cost Burden: Red Tape: Limited Stakeholder Input: Enforcement mechanisms may not fully incorporate input from persons with disabilities",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Yuvaraju,"Good morning or evening for my message
This a message to you that I appreciate the opportunity to review and contribute suggestions to the Draft Accessibility Standards for the Products Sector. Ensuring accessibility for persons with disabilities is vital for creating an inclusive society. I recommend that the standards emphasize not only physical access but also ease of use, clear instructions, and compatibility with assistive technologies. Regular updates and user feedback mechanisms should also be built into the standards to continuously improve accessibility. Thank you for

prioritizing this important issue",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Radharaman Mohanty,"Good evening. While preparing Voter Identity Card , why should the Citizens should not take a Pledge to Act to safeguard the Constitution of the Country. Like MP and MLA , All the Citizens should declare to Protect and upheld the dignity of the Country n Constitution. Regds",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Devvrath Jain,"Why Product Standards Matter

In a world saturated with choices, from the smartphone in your hand to the food on your shelf, how can consumers be confident in the safety, quality, and compatibility of what they buy? The answer often lies in a silent, unseen force: industry standards.

A product standard is essentially a agreed-upon recipe for success. It is a set of detailed guidelines, specifications, and procedures that manufacturers follow to ensure their products are reliable, safe, and consistent. These standards can cover everything from the dimensions of a screw thread and the safety of electrical components to the ethical sourcing of materials.

The benefits of standardization are profound:
Safety and Reliability: First and foremost, standards protect consumers. They ensure that electrical appliances won't electrocute users, that toys are free from",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Khushwant,"Design Phase Transparency: Mandate digital submission of plans to a centralized portal, reviewed by rotating panels of experts to avoid favoritism. This early check minimizes bribery risks by requiring traceable approvals.
Manufacturing Audits to Prevent Oversight Lapses: Implement unannounced inspections by third-party agencies, with blockchain-logged reports. Suggestion: Penalize delays or falsifications harshly, ensuring no irresponsible evasion of standards.
Certification Integrity Measures: Use multi-agency cross-verification (e.g., BIS and environmental bodies) for approvals, with public dashboards tracking timelines to expose delays indicative of corruption.
Distribution Network Scrutiny: Require wholesalers to log compliance via audited apps, flagging anomalies for investigation. This disperses power, reducing opportunities for corrupt dealings in supply chains.",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
bhavesh,"I SHARE MY IDEA OF ELECTRIC VEHICLES SELLING IN INDIA ,WHO BOUGHT ELECTRIC VEHICLES FROM THE SHOW ROOM SELLER SHOULD PROVIDE PERMENENT WALL ATTACH ELECTRIC CONNECTION IN THE CUSTOMER HOUSE TO CHARGE THE VECHILE, CHARGE TIME ALSO BE SHORT JUST LIKE 30 MIN FULL CHARGE IS MANDATORY.JUST LIKE GOVT ALSO DO SUCH KIND THINGS TO PROMOTE ELECTRIC CHARGE TENDER TO PRIVATE JUST LIKE SIM TOWER 🗼 SAME TYPE WHO ALOT VEHICLE PARKING IN SOCIETY OR OTHER PARKING VECHILE I SHARE MY THOUGHT ANY FUTURE UPDATE CALL YA MSG ME I WILL DEFINITELY FOR HELP ☺️",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Rajnikumari,"Please include rules for digital products in the new standards. This means making sure that mobile apps, websites, and online learning platforms are easy for everyone to use, including people with disabilities.

This will help all citizens access important services, education, and information online without any problems. It is a very important step for a truly Digital India where no one is left behind.

Thank you.",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector
Narindar Sharma,"All over the world nations are busy exploring natural resources like solar,wind,hydro power for production of electricity. But no country in the world has developed any proper utilization of electricity energy guidelines.
Human beings can neither create nor destroy energy . They can only transform one kind of energy into another form like heat energy to electrical Energy. Energy has quality like electric energy is highest quality energy. We should never use electrical energy for heating purposes. By doing so we are degrading high quality energy to a poor quality heat energy. This is a highly irreversible process which results in increase in Entropy of the Universe which leads to a decrease in the availability of Energy on earth.
All processes occurring in the nature are reversible.All processes being carried out by human beings are irreversible and this is the biggest cause of global warming. I explained it to scientists in USA in 2002, at UIUC,and they agreed to my suggestion and",Inviting comments and suggestions on the Draft Accessibility Standards for the Products Sector